Sr. no	ID	Title	Audio text link	Audio text Category	Audio LInk	Standard Duration (hh:mm:ss)	Audio Source	dept	Audio Extension	Background Music	Audio Quality 	Speaker ID	Subtitle	Audio Recording Device	Puplished year	Group	Uploaded Pecha Tool	Unnamed: 18	Unnamed: 19	Unnamed: 20	Unnamed: 21	Unnamed: 22	Unnamed: 23	Unnamed: 24	Unnamed: 25
1	STT_AM_AB0001		https://docs.google.com/document/d/1zmgP2Z0sdNVQp2itDc7yAIJmd9zdzOmyUR1x0ie8Ezw/edit?usp=sharing	text	https://youtu.be/nBMCNxNsfu0?si=9Fla1p4rrVYZMwpS	0:17:32	Youtube	MV	MP4	True	GOOD	AM_001			Jul 22, 2019	group A	Uploaded								
2	STT_AM_AB0002	2	https://docs.google.com/document/d/1XQSbn8JW4jd0mylntYe378B5Sx0HyawAXsadann51ok/edit?usp=sharing	text	https://youtu.be/lmqZXeXMBaU?si=K718SgxX9t5j3hu0	0:38:00	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
3	STT_AM_AB0003	3	https://docs.google.com/document/d/1E36Vy-K1q88xgbkE8v5XEEUURdvkg0gIlreCiMC9704/edit?usp=sharing	text	https://youtu.be/kenhpcBS48I?si=nycu9ngnaTSbuWNW	0:21:43	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
4	STT_AM_AB0004	4	https://docs.google.com/document/d/1BT1H5uecA8IjAnBMs95gPLUfbVdFfYhJ_xtgIUAeklc/edit?usp=sharing	text	https://youtu.be/dTt3JTiYdP0?si=YGGUtpD6AOBA0vHI	0:19:01	Youtube	MV	MP4	True	GOOD	AM_001				group B	Uploaded								
5	STT_AM_AB0005	5	https://docs.google.com/document/d/1XQx85Ag-Ztf1oazpMIP2SCItCiwsJFL_f_PP7e_gvKs/edit?usp=sharing	text	https://youtu.be/VqFQVeU1CHM?si=jpwieWHJH8m0tLSu	0:21:56	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
6	STT_AM_AB0006	6	https://docs.google.com/document/d/1fbBvq54D7Ra7sz5kJ7y1aVM-A84O9QWtZ9VkCZ7HInU/edit?usp=sharing	text	https://youtu.be/1LH6VdAARj4?si=swLITNkvXyvMc9Nv	0:15:50	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
7	STT_AM_AB0007	7	https://docs.google.com/document/d/1GHC2VZ4t9YQGclGyycU94cVuKNWesUK5mIsDBTlgXEY/edit?usp=sharing	text	https://youtu.be/B8r_cJ5rYNo?si=8fddAFe2BEUXG1l_	0:18:38	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
8	STT_AM_AB0008	8	https://docs.google.com/document/d/1Po5T03zudrUJ0pbYB4hNs9Ok9XZP2P4ju0636jDIJZ4/edit?usp=sharing	text	https://youtu.be/XHwRnKDcSHw?si=Y3B24_U0Xc_AxGqw	0:21:54	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
9	STT_AM_AB0009	9	https://docs.google.com/document/d/150Y2r2MowXPohX8A0JlVZRZlEMDDa6YC85kPHC-mibA/edit?usp=sharing	text	https://youtu.be/Zaky3zIrccg?si=GUpHRgkm68yxueoP	0:21:32	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
10	STT_AM_AB0010	10	https://docs.google.com/document/d/1DnP4TYgjE3NIXcJ9Kg1sUK8uwUj_fte2eR90ohokalk/edit?usp=sharing	text	https://youtu.be/rfZGfefj6YU?si=Wg7Sn7qMQCpuU8-i	0:18:56	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
11	STT_AM_AB0011	11	https://docs.google.com/document/d/1PzYwOJ2fDMj-wXB7a9_2MMuVb_tUOXAdqtESEkNEpEI/edit?usp=sharing	text	https://youtu.be/3AvkmpqaLD0?si=1RzRK3JkHW88_4na	0:24:11	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
12	STT_AM_AB0012	12	https://docs.google.com/document/d/1jWD1KPpmBXq7tM3uYZ7xod0MsVIRcQ_uTWXzXSoxvyA/edit?usp=sharing	text	https://youtu.be/K8TQm0rJ1rU?si=LZBVQvD4PHbXLbTS	0:21:29	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
13	STT_AM_AB0013	13	https://docs.google.com/document/d/1PdYXCSDxUwnt4PscA7SUgLtl2SYVdnCIbr3sIseeA4E/edit?usp=sharing	text	https://youtu.be/R3UXrQweFio?si=67ulI6oUm1ppMGav	0:21:30	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
14	STT_AM_AB0014	14	https://docs.google.com/document/d/1eXcp76Xu6xJVFgxyw_ZOUw_aHlR4KbYygVVvk4xcIm4/edit?usp=sharing	text	https://youtu.be/gr7qYhKu0uA?si=IN1kwONysdg650oY	0:16:48	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
15	STT_AM_AB0015	15	https://docs.google.com/document/d/19WfyatzIHLEnX4grM_V4G3dR2PgrCa_WnZQtW1zFFow/edit?usp=sharing	text	https://youtu.be/SbSHCteDtjU?si=rjkMDgcAn93tadXf	0:21:20	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
16	STT_AM_AB0016	16	https://docs.google.com/document/d/1iiwZwPLIpwIarfq7hAN_ooiaidkXPSpbpftSFD9SW1M/edit?usp=sharing	text	https://youtu.be/8klpoLY8t4o?si=KCen9tmD2Vg8S39g	0:09:13	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
17	STT_AM_AB0017	17	https://docs.google.com/document/d/1eCWw9fCV9Yy7nREw_jkVvUSRatdmVyQNaYvczIHNKPE/edit?usp=sharing	text	https://youtu.be/RLyqKbdmkdc?si=O_JyHfOp5Pz8x5iz	0:16:20	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
18	STT_AM_AB0018	18	https://docs.google.com/document/d/1wlhgEjjeENVNvZaXO8-HxuMarEbyT7_da4YgXUdtuj0/edit?usp=sharing	text	https://youtu.be/UJBLon3xnuA?si=SSSRMhErnXQNaNGS	0:27:43	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
19	STT_AM_AB0019	19	https://docs.google.com/document/d/1BDJmz9LwBif162Gk03beIlurxmjUOzPD0lFcM6dul1g/edit?usp=sharing	text	https://youtu.be/BW9X2-2OSSY?si=QO29fp42eGzRUJ-R	0:08:21	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
20	STT_AM_AB0020	20	https://docs.google.com/document/d/18DT14gNMN1mfOEGX_i43NIbQou6HUptc8Mm4gJaIjZ8/edit?usp=sharing	text	https://youtu.be/9w7y5OJx0Uw?si=HC-rhzpRRACQRAiC	0:10:01	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
21	STT_AM_AB0021	21	https://docs.google.com/document/d/1K71vXPTVJ-NwHxKGMKsZlQjp2FoI77CdEYfeZ_ok0Sk/edit?usp=sharing	text	https://youtu.be/tZZZfevbS9k?si=65BBPRn7UiSez-li	0:19:30	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
22	STT_AM_AB0022	22	https://docs.google.com/document/d/116VzeDvue0xXw8rvG2AJDw8mgvWYmgLzMoWciYRsGi8/edit?usp=sharing	text	https://youtu.be/UC9ultOgx7w?si=vMao7meCKDhC8G_A	0:11:57	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
23	STT_AM_AB0023	23	https://docs.google.com/document/d/1q1dLmNqzOJxgpZRI3YamnWFWSr2qtDF5IMxX8CLodBc/edit?usp=sharing	text	https://youtu.be/AXhE-AUKSWg?si=pHtBDUdjl0xP8ZNK	0:17:52	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
24	STT_AM_AB0024	24	https://docs.google.com/document/d/1JQY3BKvlrriJP1izGyCHSLB6YSi8Joa5R246PPYmyow/edit?usp=sharing	text	https://youtu.be/b4whHsQ1yKI?si=Hbz2geP0WGRSyzeY	0:05:30	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
25	STT_AM_AB0025	25	https://docs.google.com/document/d/1aSR_C8FYVkMwUw8IcLRLCvJj-cGwiRggKdrZVFng7ks/edit?usp=sharing	text	https://youtu.be/x9sOhPEwaYg?si=4TWsFbZU4IUFyYSJ	0:09:56	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
26	STT_AM_AB0026	26	https://docs.google.com/document/d/1ES8YcOsGwGGFfQQXoiItwVHgLmPyY2H3p6VJPqA1p4U/edit?usp=sharing	text	https://youtu.be/v-8sfLzgLP8?si=Uotrl2VgXAGlU7K1	0:17:44	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
27	STT_AM_AB0027	27	https://docs.google.com/document/d/1HwNxIqxt0lcHSmKdFfgL7w8A4y8af1HLY2r1pt4VWJs/edit?usp=sharing	text	https://youtu.be/LrUGKG2Aht8?si=1dhAE9DYUoaZOd1j	0:11:12	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
28	STT_AM_AB0028	28	https://docs.google.com/document/d/1ipBo0r1jEEbgofmMbZETkou2Uve10zwuVhBRy3D4wqI/edit?usp=sharing	text	https://youtu.be/MHzGRXeNoVQ?si=wMdWrsYXDuU52Mnh	0:13:28	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
29	STT_AM_AB0029	29	https://docs.google.com/document/d/15Tg726XG7GwwwjyeM0R_ozK0ZwXtRG3o1_AticN-D7I/edit?usp=sharing	text	https://youtu.be/XHllvYhJGkA?si=heg4C0qyq9UDwE_P	0:08:54	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
30	STT_AM_AB0030	30	https://docs.google.com/document/d/1toMSqk67PTLFuuB7QXGl__FLfokZKaNegn9ybZuHbGo/edit	text	https://youtu.be/1ishd4VSE5w?si=iYDpK1OyE8e7fcHu	0:15:39	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
31	STT_AM_AB0031	31	https://docs.google.com/document/d/1WNkEPFMjnn2cdYOpDEyEKGKIpk7rMe-dS3FRvdsglpQ/edit?usp=sharing	text	https://youtu.be/OIB9rnj_qb4?si=n3W5IOmkOat1iuBs	0:14:20	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
32	STT_AM_AB0032	32	https://docs.google.com/document/d/1_Qlqc-pfylLnm8nHMik_NPO9sVdWqYFLeSexi8yAMiM/edit?usp=sharing	text	https://youtu.be/4QXdI1abKoc?si=kjuxNxwJ8vIebck7	0:18:29	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
33	STT_AM_AB0033	33	https://docs.google.com/document/d/1To6RnijonHHCo8IqB3ExTGv9-yiDP8RiV0rPiUXqtEs/edit?usp=sharing	text	https://youtu.be/fBzRgF2Jc0U?si=yXUwutnbNs9Ibc3n	0:24:35	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
34	STT_AM_AB0034	34	https://docs.google.com/document/d/1tZGAk_RBVI26PHqtcBqz2D5KwUjh0KMwG2yMGmTOQb4/edit?usp=sharing	text	https://youtu.be/Q0S8UqGrXD4?si=h6XyUfjNXgac8miz	0:09:22	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
35	STT_AM_AB0035	35	https://docs.google.com/document/d/1xEVQE2wNjRI802k5BFyegm2lQRi28-OL48w4TY75Ypg/edit?usp=sharing	text	https://youtu.be/_fXNCoiyfso?si=TNZp7IQsuFiAcj9u	0:18:08	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
36	STT_AM_AB0036	36	https://docs.google.com/document/d/15kLdLFPlYAOaIDxi57ehz0GYH62Z3RFSYyJKgEWdUNc/edit?usp=sharing	text	https://youtu.be/l2kGGGcLL5A?si=bY08d5zGpu80I95t	0:15:21	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
37	STT_AM_AB0037	37	https://docs.google.com/document/d/19Jy_C9FMksdcRNWsEfTZ2otiMXu0MBFmFLK_hwzJ1zg/edit?usp=sharing	text	https://youtu.be/Dy14-8Np11c?si=g2kZPvwc5DLcCHuw	0:16:35	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
38	STT_AM_AB0038	38	https://docs.google.com/document/d/1Gf_OtsyoD9qMEPccoV-UqakZyseuKl9G3sF2L9mEVxE/edit?usp=sharing	text	https://youtu.be/docSuk8jmiY?si=a31MWG0yPbNH603y	0:12:38	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
39	STT_AM_AB0039	39	https://docs.google.com/document/d/1YyM8BR2OmBmOthEpZqTDaxViKcJtnnZ55zvZQn5Euu8/edit?usp=sharing	text	https://youtu.be/x47UDq4wQ08?si=VPhIc59rkP6TmvYO	0:15:55	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
40	STT_AM_AB0040	40	https://docs.google.com/document/d/1WD-taJk3Y2SwBL-q9hnX4GEfwagw16KqwoDN1j4oAS4/edit?usp=sharing	text	https://youtu.be/eNm5kA43jlw?si=SRpOTs6MQKM9PAEQ	0:15:06	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
41	STT_AM_AB0041	41	https://docs.google.com/document/d/1QXmckdR3Vzr3S3mt7i4ET44lTyx00hIISi9FyGJtTG0/edit?usp=sharing	text	https://youtu.be/v5puT4GWzSQ?si=uK6gYqIwFy_pMisc	0:09:32	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
42	STT_AM_AB0042	42	https://docs.google.com/document/d/1b98PcDpayyiqfzzv5tcPtvdGKKt4bFrLyJbEYEQLHXM/edit?usp=sharing	text	https://youtu.be/WrjslHtYFIA?si=oVIPONY20XWCg8iU	0:22:04	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
43	STT_AM_AB0043	43	https://docs.google.com/document/d/1LBC1YLm_g6Wp1YZHErNyTDCg0polgJufW8eThF0ZsNI/edit?usp=sharing	text	https://youtu.be/BZaX9KUXI8U?si=mDJf3-GIbBXDQc3K	0:07:44	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
44	STT_AM_AB0044	44	https://docs.google.com/document/d/1dqKQ7PRcNZmW00apBFJXQnDdeZIPF-nOvzCjBJqvo34/edit?usp=sharing	text	https://youtu.be/5ze7jw54rJM?si=oPDl9iKbX2JeJ9LR	0:14:41	Youtube	MV	MP4	True	GOOD	AM_001				group A	Uploaded								
