file_name,url,inference_transcript,audio_duration,group_id,state,id
STT_AM_AB1684_0001_2910_to_5310,https://monlam-ai-stt.s3.amazonaws.com/STT_AM_AB1684_0001_2910_to_5310.wav,ཕར་ཆེ་བའི་ཀོི་ཁྲིད་དང་འབྲེལ་དགོངས་ཚུལ།  ,2.4,1,transcribing,3418256
STT_AM_AB1684_0002_5502_to_10462,https://monlam-ai-stt.s3.amazonaws.com/STT_AM_AB1684_0002_5502_to_10462.wav,གེི་གིན་སི་གཅིག་གིས་སྙིན་དུར་འཛིན་གྲྭ་མང་པོ་སློབ་ཁྲིད་ལ་གནང་བ་དང་། འཛིན་གྲྭ་གཅིག་གིས་སློབ་གཉེར་བའ་ ,4.96,1,transcribing,3418257
STT_AM_AB1684_0003_14078_to_19358,https://monlam-ai-stt.s3.amazonaws.com/STT_AM_AB1684_0003_14078_to_19358.wav,ཤོག་དུ་ཕེབ་སྐུ་པ་སྒེར་གི་ནག་བཞིན་ཡིན་ས་རེད། ཧོ་ཁྲིབ་ད་མི་འགྲོ་བ། འགའ་ཞིག་གྲང་གཅིག་འཁོར་ྟག་སོག་ལ།  ,5.28,1,transcribing,3418258
STT_AM_AB1684_0004_22994_to_25138,https://monlam-ai-stt.s3.amazonaws.com/STT_AM_AB1684_0004_22994_to_25138.wav,གྲྭ་ཚང་བ་རིད་སློབ་གཉེར་བ་མང་དག་ཅིག ,2.144,1,transcribing,3418259
STT_AM_AB1684_0005_25170_to_28882,https://monlam-ai-stt.s3.amazonaws.com/STT_AM_AB1684_0005_25170_to_28882.wav,གཞན་དབྱང་ཁུང་གི་རང་མི་གིར་གིན་སེ་ཧོ་ཆེད་ལ་འགྲུབ་མི་ཐུབ་པ་སོགས་ཀྱིག་ ,3.712,1,transcribing,3418260
STT_AM_AB1684_0006_31122_to_33362,https://monlam-ai-stt.s3.amazonaws.com/STT_AM_AB1684_0006_31122_to_33362.wav,ལོ་ར་ཚེ་ནས་མ་འཇོག་པའི་དཀའ་ངལ་ལ་མང་ཐག་ཅིག ,2.24,1,transcribing,3418261
STT_AM_AB1684_0007_34000_to_39653,https://monlam-ai-stt.s3.amazonaws.com/STT_AM_AB1684_0007_34000_to_39653.wav,ཡི་གེ་མངགས་གཉིས་ཐོག་ནས་འཕུལ་འབྱོར་ྱུང་བ་བཞིན། དོ་ན་གཉིས་སུ་སྷོག་གཉེར་ལ་འག་ྱི་ནག་གཙོ་བོ་ཞིག་ད་མངོན་པ་མ་སལ།  ,5.653,1,transcribing,3418262
STT_AM_AB1684_0008_42452_to_45460,https://monlam-ai-stt.s3.amazonaws.com/STT_AM_AB1684_0008_42452_to_45460.wav,སོ་རི་ཙི་ག་མ་ཐབ་པའི་དཀའ་ངལ་ལ་བྱད་པའི་སེད་ཐུབ་ཁྲད་ཏུབ།  ,3.008,1,transcribing,3418263
STT_AM_AB1684_0009_48916_to_51156,https://monlam-ai-stt.s3.amazonaws.com/STT_AM_AB1684_0009_48916_to_51156.wav,འབྲིས་ལོ་ནི་སྐབ་དེར་ལྷིག་ྤུལ་བ་གནང་ནས།  ,2.24,1,transcribing,3418264
STT_AM_AB1684_0010_55752_to_60392,https://monlam-ai-stt.s3.amazonaws.com/STT_AM_AB1684_0010_55752_to_60392.wav,པ་ཧོཨེ་ྲིལ། ཕྱག་སཏང་གནང་ཐོབ་དང་། སློབ་གཉེར་བ་རྣམས་ཧོེ་ཁྲིལ་ལ་ཡོང་།  ,4.64,1,transcribing,3418265
